"FR","Gender","Departmnet","Record_id","State","S_D_E","RO_F_EG","Deadline_today","Workload_today","Workplace","RS","TW_W_H","TW_Research","Break","Email","funding_proposal","NP","FA","Success","Com_Proposal","L_Of_SR","W_WB_PD","T","DS","refereed_conference","A_N_Conf_Pap","core_rank","if_you_submit_manuscripts","far_in_advance_do_you","length_of_supp","in_the_week_leading_to_a_c","you_typically_subm","ss_level_in_a_fundi","Comments"
"Professor","Male","Statistical Sciences and Operations Research",220,"East","Three months","50-75%","No","Standard","Home","RS2","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP1","Other","20-30%","> 2 months","3-6 months","More","T2","More","No","","","","","","",NA,NA,"The proposal process is way to complicated.  I think everyone spends a tremendous amount of energy and time on a bet that they might get some funding.  This is stressful.  Make the entire process much more straightforward and easy to complete.  Make the reward worth the effort."
"Assistant Professor","Male","Mathematics",221,"East","Three months","Not funded","No","Light","Office","RS2","30-40",40,"Every hour","Reply instantly","Yes","NP2","NSF","< 10%","2-4 weeks","6-12 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,""
"Associate Professor","Female","Engineering",222,"East","Three months","Fully funded","Yes","Heavy","Home","RS1","40-50",30,"Every 3-4 hours","Reply instantly","Yes","NP1","Other","75-90%","1-2 months","1-3 months","More","T2","More","No","","","","","","",NA,NA,"Deadlines at the beginning or end of a typical semester are quite stressful.  Summer deadlines are best."
"Associate Professor","Male","Mathematics",223,"East","Three months","Not funded","No","Heavy","Other","RS2","> 50",50,"Other","Reply instantly","Yes","NP2","NSF","10-20%","1-2 months","> 12 months","Significantly more","T2","Significantly more","Yes","1-2","A","20-30%","> 2 months","> 12 months","Significantly more","2 or more days before","Significantly more","Asking minorities and menstruators to submit proposals is only perpetuating white supremacy and systemic patriarchy. They should just be given grants whenever they say they need it."
"Professor","Male","Psychology",224,"East","Three months","Fully funded","No","Standard","Home","RS1","> 50",60,"Every 1-2 hours","Reply instantly","Yes","NP1","NIH","75-90%","> 2 months","< 1 month","More","T2","Significantly less","No","","","","","","",NA,NA,"I use my own internal deadlines, which typically are at least a week before the actual deadline.  I don't have a problem with deadlines, I just plan for them."
"Professor","Male","Engineering",226,"East","Three months","50-75%","No","Standard","Office","RS2","40-50",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","10-20%","1-2 months","3-6 months","Significantly less","T2","More","Yes","1-2","C","> 90%","2-4 weeks","3-6 months","Less","1 day before","About the same","Concerns about the proposal format meeting the requirement of funding agency; Pressure from the last-minute items required for the proposal submission."
"Professor","Male","Engineering",227,"East","Three months","50-75%","Yes","Standard","Office","RS2","30-40",60,"Every 3-4 hours","Reply Once/Twice","Yes","NP3","NSF","10-20%","2-4 weeks","1-3 months","More","T1","More","Yes",">= 10","A","30-50%","2-4 weeks","3-6 months","About the same","1-3 hours before","About the same",""
"Associate Professor","Male","Biology",228,"East","Three months","75-100%","No","Light","Home","RS2","40-50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","10-20%","2-4 weeks","1-3 months","More","T1","More","No","","","","","","",NA,NA,""
"Associate Professor","Female","Computer Science",229,"East","Three months","Fully funded","Yes","Standard","Other","RS1","40-50",40,"Every hour","Reply instantly","Yes","NP3","NSF","30-50%","1-2 months","1-3 months","Significantly more","T1","More","Yes",">= 10","A*","30-50%","2-4 weeks","6-12 months","Significantly more","1-3 hours before","More",""
"Assistant Professor","Female","Physics",231,"South","Three months","50-75%","No","Standard","Home","RS1","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","10-20%","1-2 months","> 12 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Associate Professor","Female","Neuroscience",232,"South","Three months","Not funded","No","Heavy","Other","RS2","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","20-30%","> 2 months","3-6 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Physics",234,"South","Three months","Fully funded","No","Heavy","Office","RS2","> 50",40,"Every 1-2 hours","Reply instantly","Yes","NP1","DOE","75-90%","> 2 months","6-12 months","More","T2","More","No","","","","","","",NA,NA,""
"Professor","Male","Engineering",235,"South","Other","75-100%","Yes","Heavy","Other","RS2","> 50",20,"Every hour","Reply instantly","Yes","NP2","NSF","10-20%","1-2 months","> 12 months","Significantly more","T2","More","No","","","","","","",NA,NA,"Expansion of ancillary information that needs to follow highly constraint formats.    Formatting should not be an issue since boiler plate information should be formatted during the uploading process, and necessary missing information can be prompted."
"Assistant Professor","Male","Psychology",236,"South","Three months","1-25%","Yes","Heavy","Home","RS2","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","30-50%","1-2 months","1-3 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,"I am literally procraastinating on my NSF due in just a few days right now. And I am stressed to hell. The rpject is close to ready but one million little things need wrapping up, I;m losing sleep and going kind of crazy and my partner can't make jokes due to my mood. "
"Professor","Male","Biology",237,"South","Three months","75-100%","No","Standard","Office","RS1","40-50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","50-75%","> 2 months","6-12 months","More","T2","About the same","No","","","","","","",NA,NA,"My NSF directorate (DEB) has gotten rid of deadlines, but I still have had USDA fixed deadlines this past year."
"Professor","Male","Physics",238,"South","Other","75-100%","No","Light","Office","RS2","40-50",30,"Every 1-2 hours","Reply instantly","Yes","NP1","DOE","> 90%","> 2 months","< 1 month","About the same","T2","Less","No","","","","","","",NA,NA,""
"Associate Professor","Female","Chemistry",239,"East","Three months","75-100%","No","Standard","Office","RS2","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","< 10%","1-2 months","3-6 months","More","T2","About the same","No","","","","","","",NA,NA,"I only get stressed if I don't have the whole proposal drafted a week before the deadline so that I have time to edit"
"Associate Professor","Female","Computer Science",240,"South","Three months","1-25%","No","Light","Home","RS1","30-40",20,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","20-30%","2-4 weeks","1-3 months","Significantly more","T1","Significantly more","Yes","5-6","A","30-50%","1-2 weeks","3-6 months","Significantly more","Minutes before","Significantly more","Having deadlines repeating every month or two would be beneficial, instead of just one deadline per year. "
"Associate Professor","Male","Engineering",241,"South","Three months","Not funded","No","Standard","Office","RS2","40-50",40,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","< 10%","1-2 months","6-12 months","More","T2","More","No","","","","","","",NA,NA,""
"Associate Professor","Male","Chemistry",242,"South","Other","50-75%","No","Standard","Home","RS2","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","10-20%","1-2 months","1-3 months","More","T1","More","No","","","","","","",NA,NA,"My only problem is that the actual submission of the proposal is out of my direct control and most of the stress involved comes from prompting our sponsored research office to submit.  Having PI ability to submit would make submitting proposals less stressful."
"Professor","Male","Chemistry",245,"South","Three months","75-100%","Yes","Standard","Office","RS1","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP2","NIH","10-20%","1-2 months","6-12 months","More","T2","More","Yes","1-2","C","75-90%","2-4 weeks","6-12 months","About the same","1 day before","About the same",""
"Associate Professor","Male","Chemistry",247,"South","Three months","Fully funded","Yes","Heavy","Home","RS1","> 50",60,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","10-20%","1-2 months","6-12 months","More","T1","More","No","","","","","","",NA,NA,""
"Associate Professor","Female","Optometry",248,"South","Three months","1-25%","Yes","Standard","Home","RS1","40-50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","Other","30-50%","1-2 months","> 12 months","More","T2","More","No","","","","","","",NA,NA,"Your survey was comprehensive"
"Assistant Professor","Male","Engineering",249,"South","Three months","50-75%","Yes","Heavy","Home","RS2","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","50-75%","1-2 months","6-12 months","Less","T2","About the same","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Computer Science",250,"South","Three months","25-50%","No","Standard","Home","RS2","40-50",70,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","10-20%","2-4 weeks","> 12 months","More","T1","More","Yes","5-6","A*","20-30%","1-2 months","6-12 months","More","3-6 hours before","More",""
"Associate Professor","Male","Computer Science",251,"South","Three months","75-100%","No","Standard","Office","RS1","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","< 10%","> 2 months","3-6 months","Significantly more","T1","More","Yes","5-6","A*","< 10%","> 2 months","6-12 months","Significantly more","Minutes before","Significantly more",""
"Associate Professor","Male","Psychology",253,"South","Three months","50-75%","Yes","Standard","Home","RS1","> 50",70,"Every 1-2 hours","Reply instantly","Yes","NP3","NIH","< 10%","> 2 months","3-6 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Chemistry",254,"South","Other","75-100%","Yes","Standard","Office","RS2","> 50",20,"Every 1-2 hours","Reply instantly","Yes","NP2","NIH","< 10%","2-4 weeks","3-6 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,"Amount of wasted time worrying about silly things like budget and overhead rates when they have little to nothing to do with the chances of the grant getting funded. Also, navigating the red tape."
"Professor","Male","Chemistry",255,"South","Three months","50-75%","Yes","Heavy","Office","RS2","> 50",70,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","1-2 months","1-3 months","About the same","T2","About the same","No","","","","","","",NA,NA,""
"Associate Professor","Female","Engineering",256,"South","Three months","50-75%","No","Standard","Office","RS2","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP2","NIH","10-20%","1-2 months","> 12 months","Significantly more","T1","Significantly more","Yes","1-2","B","75-90%","2-4 weeks","6-12 months","More","Minutes before","About the same","Frustration and anxiety resulting from collaborators who do not respect deadlines and do not put in the effort needed on their part, which increases my workload."
"Associate Professor","Male","Engineering",257,"South","Three months","1-25%","No","Standard","Home","RS1","30-40",30,"Every 1-2 hours","Reply instantly","Yes","NP2","Other","10-20%","1-2 months","1-3 months","More","T2","More","Yes","3-4","A","30-50%","1-2 months","3-6 months","More","1 day before","More",""
"Associate Professor","Female","Engineering",258,"South","Three months","50-75%","Yes","Standard","Home","RS2","40-50",40,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","> 2 months","1-3 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,"I submit more proposals to programs with deadlines than those without. "
"Assistant Professor","Female","Engineering",260,"South","Three months","1-25%","No","Standard","Home","RS1","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","< 10%","> 2 months","6-12 months","More","T1","More","Yes","5-6","B","75-90%","1-2 months","3-6 months","More","3-6 hours before","About the same",""
"Assistant Professor","Female","Mathematics",265,"South","Two months","Fully funded","No","Light","Home","RS1","40-50",40,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","75-90%","> 2 months","> 12 months","About the same","T2","About the same","No","","","","","","",NA,NA,"I start preparing my proposals well in advance of a deadline (> 6 months), because I don't want to increase my stress level and my work load. It much easier to spread things over 6 months. Two months before the deadline my proposal is fully ready, and all I do is tweak things a little before submitting, and submit it a week before the deadline. My strategy of eliminating deadline stress is to act as if the deadline is two months earlier than it actually is."
"Professor","Male","Computer Science",266,"South","Three months","Fully funded","No","Light","Office","RS1","> 50",70,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","20-30%","> 2 months","1-3 months","Significantly more","T1","More","Yes","3-4","B","10-20%","2-4 weeks","3-6 months","About the same","3-6 hours before","More",""
"Associate Professor","Male","Mathematics",267,"South","Three months","1-25%","No","Standard","Home","RS2","40-50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","50-75%","1-2 months","< 1 month","More","T2","Less","No","","","","","","",NA,NA,""
"Assistant Professor","Female","Mathematics",269,"South","Three months","1-25%","Yes","Heavy","Home","RS2","> 50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","< 10%","2-4 weeks","> 12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,"1/ How much support I get from the department (peers, senior professors, staff). In my case, ZERO.   2/ Whether I *need* the external funding to do good research. In my case (pure math), I do NOT need the external funding, but I feel pressured to apply for grants to meet quota."
"Professor","Female","Biology",270,"South","Three months","75-100%","Yes","Heavy","Office","RS1","> 50",50,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","> 90%","2-4 weeks","> 12 months","More","T2","Less","No","","","","","","",NA,NA,"I like the no deadline system, in some NSF programs now. It helps with the reviewer overload, which is an important consideration. Deadlines seem to incentivize people to submit proposals even when they have nothing good to submit. "
"Assistant Professor","Male","Computer Science",275,"South","Three months","75-100%","Yes","Standard","Office","RS2","40-50",60,"Every hour","Reply Once/Twice","Yes","NP3","NSF","10-20%","> 2 months","1-3 months","More","T1","About the same","Yes",">= 10","A","20-30%","> 2 months","6-12 months","More","Minutes before","About the same",""
"Professor","Male","Computer Science",277,"East","Other","1-25%","No","Light","Office","RS1","40-50",30,"Every 1-2 hours","Reply instantly","Yes","NP2","NIH","< 10%","> 2 months","1-3 months","Significantly more","T2","More","Yes","5-6","A*","50-75%","> 2 months","1-3 months","More","3-6 hours before","More","To succeed in acquiring funding, I need to spend more time writing proposals than actually doing research or writing papers. The current extreme level of funding competition creates huge waste."
"Professor","Male","Mathematics",278,"South","Other","1-25%","No","Standard","Office","RS2","> 50",50,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","30-50%","1-2 months","1-3 months","Significantly more","T2","More","Yes","1-2","A","50-75%","1-2 months","3-6 months","More","2 or more days before","About the same",""
"Assistant Professor","Male","Computer Science",279,"West","Three months","Fully funded","Yes","Standard","Home","RS1","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","30-50%","1-2 months","< 1 month","Significantly more","T1","More","Yes",">= 10","A*","50-75%","> 2 months","6-12 months","Significantly more","Minutes before","Significantly more",""
"Professor","Female","Psychology",281,"South","Other","25-50%","No","Heavy","Home","RS2","> 50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NIH","10-20%","> 2 months","> 12 months","More","T2","About the same","No","","","","","","",NA,NA,"Perhaps the sort of rolling submission that NIH study section members enjoy - they can submit at any time. Actually, I think deadlines can be helpful, but the problem is with only 2-3 per year, they sometimes do not fall at a good time with respect to workload. quarterly or more frequent submission deadlines would help from the PI perspective, but not so practical from agency perspective."
"Assistant Professor","Female","Psychology",282,"South","Other","Not funded","Yes","Standard","Home","RS2","40-50",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NIH","< 10%","> 2 months","6-12 months","Significantly more","T1","More","No","","","","","","",NA,NA,"I wrote that day of and leading up to proposal I did ""administration"" and research, but I was referring specially to the micromanaging of our grants office administrator. We do not have a dedicated grants person in our department, and we have to rely on University-wide administrators. They are kind, and hard working, but they have yet to help me submit a proposal in 5 years where I have not found an error on their part of the process in terms of filling out the forms for grant proposals related to institution, forgetting University documents, or uploading for an incorrect PAR number. I would say this contributes to the most stress for me when submitting proposals, because in addition to proofreading and triple checking my own parts related to the science, I also have to spend time quality control checking all of their tasks to catch their errors before submission."
"Professor","Male","Computer Science",283,"South","Other","1-25%","No","Standard","Office","RS2","> 50",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","< 10%","1-2 months","3-6 months","Significantly more","T2","Significantly more","Yes",">= 10","B","50-75%","1-2 months","6-12 months","Significantly more","2 or more days before","More","No ideas"
"Associate Professor","Male","Biology",285,"South","Other","25-50%","No","Standard","Home","RS1","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","< 10%","2-4 weeks","3-6 months","Significantly more","T1","More","Yes","5-6","A","75-90%","1-2 weeks","> 12 months","About the same","1-3 hours before","About the same","n/a"
"Assistant Professor","Male","Engineering",286,"Midwest","Three months","25-50%","Yes","Standard","Office","RS2","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","< 10%","2-4 weeks","3-6 months","Significantly more","T1","Significantly more","Yes","7-9","A*","20-30%","1-2 months","6-12 months","Significantly more","Minutes before","More",""
"Associate Professor","Male","Computer Science",289,"South","Three months","Not funded","No","Light","Home","RS2","30-40",60,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","30-50%","1-2 months","6-12 months","More","T2","About the same","Yes","1-2","A*","75-90%","1-2 months","6-12 months","More","3-6 hours before","About the same","Proposals and managed through univ admin, so I have to get things done early."
"Professor","Female","Mathematics",291,"West","Three months","Not funded","Yes","Heavy","Home","RS2","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","20-30%","> 2 months","3-6 months","Significantly more","T2","More","No","","","","","","",NA,NA,"The deadlines do not match the requirements at our institution. We have to prepare everything at least a week before submission, The pressure periods are severe for the internal deadlines. "
"Associate Professor","Male","Engineering",292,"West","Three months","Not funded","Yes","Standard","Home","RS2","40-50",20,"Every 3-4 hours","Reply instantly","Yes","NP1","DOD","20-30%","> 2 months","6-12 months","Significantly more","T2","More","Yes","1-2","C","> 90%","> 2 months","> 12 months","About the same","1 day before","About the same",""
"Professor","Male","Biology",294,"West","Other","Fully funded","Yes","Standard","Home","RS2","> 50",60,"Every 1-2 hours","Reply instantly","Yes","NP3","DOE","20-30%","1-2 months","6-12 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Professor","Male","Engineering",296,"West","Three months","Fully funded","Yes","Standard","Home","RS1","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","10-20%","2-4 weeks","3-6 months","Significantly more","T1","More","Yes","5-6","A","30-50%","1-2 months","6-12 months","Significantly more","Minutes before","More",""
"Professor","Male","Physics",297,"West","Three months","1-25%","No","Standard","Home","RS2","> 50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","20-30%","1-2 months","1-3 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Assistant Professor","Female","Engineering",298,"West","Three months","Fully funded","No","Standard","Office","RS1","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP2","Other","30-50%","> 2 months","> 12 months","Significantly more","T1","More","No","","","","","","",NA,NA,"It is completely impossible to write proposals during COVID lockdown with no child care.  Since daycare stopped I have submitted zero proposals. "
"Professor","Male","Neurobiology",299,"West","Other","Fully funded","No","Light","Office","RS2","40-50",20,"Every 3-4 hours","Reply instantly","Yes","NP1","NIH","30-50%","1-2 months","6-12 months","About the same","T2","About the same","No","","","","","","",NA,NA,""
"Associate Professor","Male","Chemistry",301,"Midwest","Three months","25-50%","No","Standard","Office","RS1","> 50",40,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","20-30%","1-2 months","6-12 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Associate Professor","Male","Engineering",303,"Midwest","Three months","Fully funded","No","Standard","Office","RS2","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","< 10%","> 2 months","1-3 months","Significantly more","T1","More","Yes","3-4","B","30-50%","> 2 months","3-6 months","More","3-6 hours before","About the same",""
"Associate Professor","Male","Computer Science",304,"Midwest","Three months","25-50%","No","Standard","Office","RS2","40-50",20,"Every hour","Reply instantly","Yes","NP1","NSF","20-30%","1-2 months","3-6 months","Significantly more","T1","Significantly more","Yes","3-4","A*","10-20%","> 2 months","> 12 months","More","Minutes before","More","Without deadlines it's easier to let things slip"
"Associate Professor","Female","Biology",306,"Midwest","Three months","1-25%","Yes","Heavy","Home","RS1","40-50",60,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","10-20%","> 2 months","6-12 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Associate Professor","Female","Engineering",307,"East","Three months","Fully funded","No","Standard","Office","RS1","> 50",60,"Every 1-2 hours","Reply instantly","Yes","NP3","NIH","10-20%","2-4 weeks","1-3 months","More","T1","About the same","No","","","","","","",NA,NA,"I actually like deadlines, because they require me to spend focused time on a proposal. I have tried starting proposals earlier, and I tend to still work on them until the deadline, so I stopped starting too early to allow me to be more efficient. Large proposals with multiple PIs are far more stressful than proposals with just me or with one another PI."
"Professor","Female","Computer Science",309,"Midwest","Three months","50-75%","No","Heavy","Home","RS1","40-50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","10-20%","2-4 weeks","1-3 months","Significantly more","T2","More","Yes","7-9","A*","30-50%","> 2 months","6-12 months","Significantly more","1 day before","About the same","I do not think proposal deadlines are the problem.  In fact, with no deadlines I would submit fewer proposals, because I will never be satisfied of what I wrote."
"Associate Professor","Male","Engineering",311,"East","Three months","Fully funded","No","Light","Home","RS2","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP1","DOD","50-75%","2-4 weeks","6-12 months","More","T2","About the same","No","","","","","","",NA,NA,"The most stressful part is the necessary reliance on other people. For example, will the research administration people get their budgets and paperwork done in time? I often have to remind them multiple times. Will my co-PIs get their parts done in time?"
"Associate Professor","Male","Engineering",312,"East","Three months","75-100%","Yes","Standard","Office","RS2","> 50",40,"Every 3-4 hours","Reply Once/Twice","Yes","NP3","NSF","10-20%","2-4 weeks","6-12 months","Significantly more","T2","More","Yes","5-6","A","> 90%","1-2 months","6-12 months","More","2 or more days before","More","One of the stressful components associated with the proposal preparation is a steady increase in number of required supporting documents aggravated by a frequent change in preparation requirements. Many of these docs have little to no value, just a typical way who bureaucracy demonstrates that they do something.  NSF is particularly bad in this aspect. The preparation of all these docs now takes more time than the preparation of  the proposal itself."
"Professor","Male","Engineering",314,"East","Three months","Fully funded","Yes","Standard","Home","RS2","> 50",70,"Every 1-2 hours","Reply Once/Twice","Yes","NP2","DOD","30-50%","1-2 months","1-3 months","About the same","T2","About the same","Yes","3-4","A","> 90%","1-2 months","6-12 months","About the same","1 day before","About the same",""
"Assistant Professor","Male","Engineering",315,"East","Three months","75-100%","Yes","Heavy","Office","RS2","> 50",50,"Other","Reply instantly","Yes","NP3","NSF","30-50%","1-2 months","1-3 months","Significantly more","T2","Significantly more","Yes","1-2","A","50-75%","1-2 weeks","< 1 month","About the same","Minutes before","More","Although stressful, proposal deadlines force us to put a timeline with a HARD immovable target date. This requires us to compile many of our ideas and hone them into a good story. As it has currently stood, much of the ""prior research"" for proposals has been completed within the ~1month before the deadline. Some of this is due to waiting for calls to identify topics, forming teams, etc., but also due to prioritization. We are so focused on meeting our existing deadlines for FUNDED programs that we cannot devote the time to exploring the NEW ideas/concepts until we have no other choice. This leads to a constantly high stress level. Although you can get things done, you never have enough time to get ahead, to think creatively, and truly explore limits. It is simply chasing one deadline to the next.    I am not sure replacing deadlines is a good thing. They are stressful but they are very helpful to force you to submit your idea."
"Associate Professor","Male","Engineering",316,"East","Three months","75-100%","Yes","Standard","Home","RS1","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP2","DOE","50-75%","1-2 months","6-12 months","Significantly more","T2","More","Yes",">= 10","A","20-30%","1-2 months","6-12 months","More","3-6 hours before","More",""
"Assistant Professor","Male","Biology",318,"East","Three months","Fully funded","No","Heavy","Office","RS2","> 50",60,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NSF","50-75%","1-2 months","6-12 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Engineering",319,"East","Other","Fully funded","Yes","Standard","Office","RS2","> 50",30,"Every hour","Reply Once/Twice","Yes","NP3","DOD","30-50%","2-4 weeks","1-3 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Associate Professor","Female","Engineering",321,"East","Three months","75-100%","Yes","Heavy","Office","RS2","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","10-20%","1-2 months","1-3 months","Significantly more","T1","About the same","No","","","","","","",NA,NA,"Deadlines provide external accountability to submit despite the added pressure to meet them.  The removal of deadlines by NSF has reduced the urgency and requires more self-discipline."
"Professor","Male","Computer Science",322,"East","Three months","25-50%","No","Heavy","Office","RS2","40-50",60,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","30-50%","2-4 weeks","6-12 months","More","T2","About the same","Yes","3-4","A*","30-50%","1-2 months","6-12 months","Significantly more","1-3 hours before","About the same",""
"Assistant Professor","Female","Biology",323,"South","Three months","50-75%","No","Light","Office","RS2","> 50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NIH","20-30%","> 2 months","> 12 months","More","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Biology",324,"South","Two months","Fully funded","No","Standard","Office","RS2","40-50",40,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","30-50%","1-2 months","> 12 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Professor","Female","Physics",326,"West","Other","75-100%","No","Standard","Office","RS2","40-50",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","10-20%","1-2 months","3-6 months","More","T2","About the same","Yes","1-2","A*","> 90%","2-4 weeks","< 1 month","About the same","2 or more days before","About the same","Please note that I am taking this survey after a big deadline for proposal to an experimental facilty (August 3). Last week some of my answers would've been different."
"Associate Professor","Male","Engineering",327,"South","Three months","75-100%","No","Standard","Home","RS1","> 50",50,"Every 1-2 hours","Reply instantly","Yes","NP3","DOE","10-20%","2-4 weeks","> 12 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,"2 kids and dog, can't do anything at last minute , everything has to be done in small chunks over time "
"Assistant Professor","Male","Computer Science",329,"South","Three months","1-25%","No","Light","Home","RS1","40-50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","< 10%","1-2 months","1-3 months","Significantly more","T1","More","Yes","5-6","B","> 90%","1-2 months","3-6 months","More","Minutes before","More",""
"Associate Professor","Female","Health",332,"West","Three months","1-25%","No","Heavy","Office","RS2","> 50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","< 10%","> 2 months","> 12 months","Significantly more","T2","More","No","","","","","","",NA,NA,"Rolling deadlines would be helpful as is the case for many areas covered by NSF. "
"Professor","Male","Psychology",333,"West","Three months","25-50%","No","Light","Home","RS1","30-40",20,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NIH","30-50%","> 2 months","> 12 months","More","T2","About the same","No","","","","","","",NA,NA,"I don't find the deadlines stressful except for the inevitable bureaucratic nonsense (either from my university or the every-changing whims of the funders). The other parts are fairly straightforward."
"Associate Professor","Male","Physics",335,"West","Three months","Fully funded","Yes","Heavy","Office","RS2","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","50-75%","2-4 weeks","1-3 months","Significantly less","T1","Significantly more","No","","","","","","",NA,NA,"Deadlines are helpful, but they are very problematic when there is too much time between them.  It would be great if each call for proposals would review proposals in batches, perhaps once each quarter.   "
"Assistant Professor","Female","Physics",336,"West","Three months","75-100%","Yes","Heavy","Home","RS2","40-50",40,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","DOE","< 10%","2-4 weeks","3-6 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,"Proposal deadlines are not the problem.  The problem is an unhealthy work culture in the scientific enterprise as a whole.  Replacing proposal deadlines with some other mechanism may have little to no effect on this overarching culture."
"Associate Professor","Female","Biology",337,"South","Three months","75-100%","Yes","Standard","Home","RS2","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","20-30%","> 2 months","> 12 months","Significantly more","T1","More","No","","","","","","",NA,NA,"NSF is currently working on a no-deadline model; I don't yet know whether you will ask about this. It's a double-edged sword, and I think an effective way to reduce the number of submissions.  It does not mean I'm less stressed, however - the stress is more internalized and goes on for longer.  It's still far better than that pre-proposal model, however!!!"
