"Rank","Mental","Physical","Temporal","Performance","Effort","Frustration","NASA","Trait","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","Avoidance","Emotion","Task"
"Professor",6,1,4,5,6,2,24,25,10,9,10,3,8,16,9,28
"Associate Professor",5,5,5,5,5,5,30,44,8,6,10,4,7,31,13,35
"Professor",7,2,5,5,7,5,31,32,8,10,9,5,10,12,16,32
"Professor",5,5,4,6,5,1,26,39,5,9,7,4,8,21,18,27
"Professor",5,1,5,3,5,5,24,57,4,5,7,6,4,12,28,27
"Professor",5,3,5,7,7,1,28,24,10,9,9,2,7,19,13,32
"Assistant Professor",6,1,2,5,4,2,20,33,6,6,6,8,10,26,10,32
"Professor",5,2,3,6,4,6,26,49,6,8,10,7,8,14,22,31
"Associate Professor",4,1,3,6,4,1,19,25,3,10,8,2,9,18,11,33
"Assistant Professor",5,1,5,3,6,4,24,39,9,6,7,5,7,20,15,25
"Assistant Professor",5,2,3,6,4,1,21,51,6,9,7,5,7,24,25,33
"Professor",5,2,4,5,5,2,23,39,5,9,7,4,8,9,14,28
"Professor",3,1,2,5,5,2,18,27,6,4,10,5,9,21,11,32
"Assistant Professor",3,3,3,2,3,3,17,48,7,10,10,4,10,25,17,30
"Professor",1,1,1,7,4,1,15,21,4,8,10,2,10,15,13,33
"Assistant Professor",4,2,3,4,4,2,19,59,3,8,9,9,8,16,22,32
"Associate Professor",5,2,3,6,4,4,24,44,4,7,5,8,7,21,16,29
"Associate Professor",6,1,4,5,5,5,26,60,5,7,5,8,9,16,24,21
"Associate Professor",3,1,2,5,2,5,18,42,4,4,10,5,8,17,17,30
"Professor",3,1,3,2,6,6,21,58,3,6,10,3,8,8,26,31
"Professor",5,1,4,4,6,3,23,33,6,10,10,3,7,29,16,33
"Professor",2,1,3,4,3,2,15,41,8,10,7,8,10,8,23,33
"Associate Professor",5,3,5,3,5,6,27,58,7,8,8,9,7,16,26,30
"Professor",1,1,1,5,1,2,11,41,7,8,10,6,6,21,24,23
"Assistant Professor",6,1,5,3,5,6,26,47,6,8,10,7,5,20,24,30
"Associate Professor",5,4,3,5,4,3,24,45,2,10,10,6,8,23,24,29
"Professor",4,2,2,4,3,1,16,30,5,9,8,5,8,15,15,24
"Associate Professor",5,1,5,4,5,5,25,40,7,6,8,6,6,21,12,23
"Assistant Professor",5,1,4,4,4,4,22,54,3,5,6,7,8,14,16,23
"Professor",3,3,3,5,3,2,19,32,2,9,10,6,8,20,17,31
"Professor",6,3,4,6,6,2,27,37,7,10,10,4,7,21,17,30
"Associate Professor",6,3,3,3,3,1,19,47,5,10,10,6,6,23,23,30
"Professor",5,1,2,4,3,3,18,55,8,7,8,6,10,16,23,28
"Assistant Professor",1,1,1,1,1,1,6,47,6,6,6,6,6,7,7,7
"Associate Professor",6,2,5,4,5,4,26,35,4,7,7,5,8,23,14,30
"Assistant Professor",4,2,5,3,4,2,20,39,10,10,9,5,6,19,13,24
"Professor",3,1,2,5,2,1,14,30,4,8,7,6,10,13,12,27
"Associate Professor",5,1,5,5,5,5,26,35,6,8,7,6,6,18,19,29
"Professor",3,1,3,4,3,3,17,25,9,9,9,3,8,23,10,28
"Professor",5,2,4,4,5,1,21,36,5,10,10,3,7,17,15,30
"Assistant Professor",6,2,6,3,5,6,28,48,6,7,10,4,5,16,14,30
"Professor",4,3,6,6,5,4,28,34,7,10,10,4,9,24,14,33
"Professor",5,3,2,4,3,4,21,48,4,5,8,7,5,26,18,30
"Professor",5,3,1,5,5,1,20,32,8,9,10,3,8,21,12,33
"Assistant Professor",7,4,4,4,7,4,30,48,8,10,5,5,7,7,20,22
"Assistant Professor",2,1,2,2,2,4,13,34,6,7,8,3,10,16,10,27
"Associate Professor",4,4,5,3,5,2,23,32,5,9,9,4,9,24,15,32
