"P_ID","S_G30","S_G50","S_F75","S_FF","S_G50FF","About_Proposal_Deadline"
"P_311",1,1,1,1,1,"A significant aspect of the stress is checking that all of NSF grant preparation guidelines are met. Describing the proposed research is easy, but then as much time or more goes into re-reading the guidelines and checking that every required aspect has been covered, then rewriting sections of the proposal to make room because some new requirement was missed. In some cases, there are arguments with our SRO about ambiguous elements of the requirements that need clarification from NSF, and last minute changes. It's also getting to the point that the project summary page has so many requirements that it is hard to include much about the actual proposal. Even the titles now sometimes require so many qualifiers that there aren't many words left for content. "
"P_312",0,0,1,0,0,"have several different windows each year, rather than just one deadline per year"
"P_313",0,0,1,1,0,"Our institution requires proposals are submitted for internal review five days in advance of the sponsor deadline.  That causes huge stress before the deadline but reduces stress on the due date."
"P_315",1,0,0,0,0,"I'd be interested in the positive elements of deadlines .. i.e. dedicating time and constraints which might allow finishing.."
"P_317",0,0,1,0,0,"I have excellent staff support for preparing and submitting.  This greatly lowers my stress level."
"P_318",0,0,0,0,0,"The proposal must be finished and sent to sponsored research 3-5 days before the agency deadline - so there are really two deadlines to consider. "
"P_323",0,0,1,1,0,"NSF is the worst agency to write proposals for (no experience with NIH). The NSF system is very rigid, the reviews are random and the paperwork is much more than any DoD agency we dealt with.  deadlines make all of this much worse."
"P_324",0,0,1,1,0,"It's incredibly frustrating to spend so much time on something that has so little chance of success. The constant need to chase after the next grant to support myself or my students take significant time away from publishing additional articles on past grants, as well as strongly discouraging truly innovative research ideas. If an idea deviates substantially from the natural ""next step"" on a topic, I know it has exactly 0% chance of success. It also strongly discourages me from applying to other agencies, since I know I'm not part of the ""old boys"" club, which is alive and well. The increase in amount of administration and forms disproportionately advantages researchers from top tier universities (including mine), which provide substantial administrative support in submission and management of grants. If I was at a lower tier university, there is no chance that I could submit and manage as many grants as I do currently. This is a fantastically effective way to squash diversity, by raising the status bar for individuals who can submit grants. My last grant to support one student for three years was over 225 pages long - and funding rates hover around 15%. What a tremendous waste of intellectual resources to spend hours and hours compiling CVs, C&Ps, COAs, and all the other required forms. It also strongly benefits senior personnel who have administrative staff that can maintain these resources for them. Some forms are obviously necessary, but why not refer reviewers to ORCIDs and google scholar or web of science profiles? Also, each agency has their own forms, so they aren't transferable. I submit to NIJ, NSF, NASA, as well as philanthropic foundations. Rolling deadlines would be better, since proposals are more likely to be submitted when they're truly ready, instead of when they're due. "
"P_325",0,0,1,0,0,"Deadlines help me limit the time I work on proposals and help me get things done. Although I work to deadlines, I find them helpful, because it is otherwise easy to let teaching and service tasks with deadlines take priority over writing proposals."
"P_326",1,0,0,0,0,"function better than usual for the most part"
"P_329",1,1,1,1,1,"Applying for funding does have some enjoyable aspects."
"P_330",0,0,0,0,0,"I do not like doing things last minute, so grant deadlines are typically built in as work over an extended period of time in advance of the deadline.  "
"P_333",0,0,1,1,0,"Collaborators are not respectful of my family obligations and expect that I can drop everything at the last minute to accommodate the proposal's needs."
"P_334",1,0,0,0,0,"Deadlines are a regular part of academic life. If they are stressful, perhaps the problem is with the individual and not the deadline."
"P_340",0,0,0,0,0,"The deadlines help to plan, and provide a good excuse to prioritize proposal writing over day-to-day work, esp. administrative. However, high-stakes deadlines (once in a year) are harmful, especially for junior faculty.   These can easily conflict with other hard deadlines (conference submissions, exams etc)  An optimal spacing  for me seems to be ~ 2-3 options to submit per year. "
"P_344",0,0,0,0,0,"The answers I've provided are regarding a typical proposal submission process. But not all the submissions are typical. Sometimes things go wrong, significantly increasing stress in the last week or day of the submission."
"P_346",0,0,1,1,0,"Mentoring and production of manuscripts are also dramatically affected by deadlines."
"P_348",0,0,1,1,0,"NSF, DoE should stop setting proposal deadlines at the end of institutional holidays. They systematically ruin the lives of faculties and those of their families!"
"P_351",1,1,1,1,1,"My university has internal deadlines significantly earlier (weeks earlier) than the proposal deadlines. This moves the time required much earlier. The stress closer to the deadline comes from determining whether my research administration has correctly submitted everything."
"P_352",0,0,0,0,0,"Having a process for year round submission at any time would significantly ease the stress"
"P_355",0,0,0,0,0,"The new rolling proposal deadlines are great."
"P_356",0,0,0,0,0,"Each proposal takes months and years to develop, but the evaluation gives one parameter back: competitive or not.  There are helpful review comments but sometime  they are inconsistent from year to year.  Working with the deadlines means dealing with the uncertainty and the high rejection rate. "
"P_357",0,0,1,0,0,"I prefer to get things done early and my co-PIs are often deadline oriented and it really stresses me out to deal with how late their stuff comes in!"
"P_359",0,0,1,1,0,"I love the new flexible deadlines that NSF has for many of its programs. But many of the other programs still have deadlines, and these are usually the more complicated programs anyway, involving larger groups, and these take more time to prepare and are usually not ready to go until the very end. "
"P_361",1,1,1,1,1,"Often the time compression is related to how much time the solicitation allows for proposal submission.  Frequently, this is only one month for many agencies."
"P_362",0,0,1,0,0,"It is a personal choice on how one resonds to deadlines."
"P_366",0,0,1,0,0,"As stressful as deadlines are, I am 100% motivated by them and would not be as productive if left to my own devices.  I am in favor of deadlines!"
"P_367",0,0,0,0,0,"Most universities want the proposal ready sooner so that they can submit on time."
"P_370",0,0,1,0,0,"I never have enough time. Teaching is time sink that holds me back."
"P_372",0,0,0,0,0,"Having deadlines can help with accountability but most of the stress comes from making sure that my university's grants office can get their tasks completed on time. Especially during the pandemic, it was extra stressful to be submitting a grant proposal when important staff members had been laid off or forced to reapply for their jobs and, thus, had limited capacities to be working on our grant submissions."
"P_376",0,0,1,0,0,"The stress of deadlines drives me to submissions which do not have deadlines. The quality of the proposals is also higher. But the stress in this case lingers."
"P_377",1,1,1,1,1,"None  "
"P_384",0,0,0,0,0,"The questions don't really make sense in my case. I don't think the questionnaire was thought through well."
"P_391",1,0,0,0,0,"Deadlines are very useful."
"P_394",0,0,1,0,0,"Day of submission is typically waiting for final approvals, so that is the day I start getting caught up on everything else.  I typically put any non-urgent items on hold for the week or two before submitting and then spend the following week getting caught up.  Also, in regards to email, I sometimes respond right away if the email is quick and will help someone else continue working.  I go through email about twice per day to do medium size tasks, but the big tasks tend to get left for several days so I can schedule time to take care of it.  I generally think proposal deadlines are good because it give you a point in time to aim for.  Without deadlines, it is easy to push them off and it generally takes more time to actually complete it.  This is similar to students submitting journals (takes longer with no deadlines) compared to conferences (which have deadlines)."
"P_398",1,1,1,0,0,"I just wish that the deadlines could be chosen to avoid convergence with intense academic periods. "
"P_402",0,0,0,0,0,"Grant offices submit our proposals, so deadlines are a little soft"
