"Classification","Department","Gender","Race","Computer_type","Primary_Computer","Computer_purchased","Computer_screen","Warranty","Webcam","Computer_rating","Computer_model","ownership","operating_system","Os_version","Processor","RAM","Hard_disk","Data_HD","Backup","Backup_method","Ext_brand","Clou_brand","Backup_frequency","Automatic_backups","Loss_of_data","UH_M_OneDrive","Secondary_device","Synced_Primary","Smartphone","Smartphone_brand","Smartphone_model","smartwatch","Smartwatch_brand","Smartwatch_model","Course_format","Confident_installing","Internet_speed","Internet_reliability","Computer_labs","Customare_vcare"
"Other","Computer Science","Male","Hispanic","Standard User","Laptop","2020","15''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Daily","Yes","No","Yes","Yes","No","Yes","iPhone","iPhone 11","No","","","Fully Online","Very confident","100 - 300 Mbps","Excellent","",""
"Freshman","Computer Science","Female","African American","Standard User","Laptop","2011","13''","No","Built-in","Average","Apple Macbook Air","Own","Mac OS","High Sierra","Intel Core i5","4 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Moderately confident","< 100 Mbps","Good","Somewhat unlikely","Maybe"
"PhD","Mathematics","Male","International","Standard User","Laptop","2017","13''","No","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","Dropbox","Weekly","No","No","No","Yes","Yes","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Neutral","< 100 Mbps","Good","Very unlikely","Yes"
"Freshman","Chemistry","Male","Asian American","Standard User","Laptop","2018","15''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Pro","Intel Core i7","8 GB","1 TB","500 GB - 1 TB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","iPhone X Series","No","","","Face-to-Face","Neutral","300 - 500 Mbps","Average","Somewhat likely","Yes"
"Senior","Earth and Atmospheric Sciences","Female","Hispanic","Standard User","Laptop","2013","13''","No","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","< 100 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Fully Online","Not confident","> 500 Mbps","Excellent","Very unlikely","Yes"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","14''","1 year","Built-in","Average","Lenovo ThinkPad","Own","Windows OS","Windows 10 Pro","Other","16 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Weekly","No","No","No","No","","Yes","iPhone","iPhone X Series","No","","","Fully Online","Somewhat confident","300 - 500 Mbps","Good","Somewhat unlikely","Yes"
"Junior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","14''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","High Sierra","Intel Core i7","16 GB","128 GB","< 100 GB","No","","","","","","Yes","No","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Hybrid/Blended","Not confident","100 - 300 Mbps","Average","Very unlikely","Yes"
"Senior","Computer Science","Male","Hispanic","Standard User","Laptop","2016","13''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Mojave","Intel Core i5","8 GB","512 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","Other","No","","","Face-to-Face","Very confident","300 - 500 Mbps","Good","Somewhat likely","Yes"
"Senior","Mathematics","Male","White","Standard User","Desktop","2016","Other","No","No","Good","Other","Own","Windows OS","Windows 10 Home","AMD Ryzen","16 GB","512 GB","100 GB - 500 GB","Yes","External backup disk","Samsung","","Monthly","No","No","Yes","Yes","Yes","Yes","iPhone","iPhone X Series","No","","","Fully Online","Moderately confident","100 - 300 Mbps","Good","Very unlikely","Maybe"
"Freshman","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2020","13''","No","Built-in","Excellent","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Face-to-Face","Neutral","100 - 300 Mbps","Average","Somewhat unlikely","Maybe"
"Senior","Computer Science","Female","Asian American","Standard User","Laptop","2019","17''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","1 TB","500 GB - 1 TB","No","","","","","","No","No","No","","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Very confident","100 - 300 Mbps","Average","Somewhat likely","Maybe"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2020","Other","No","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Pro","Other","4 GB","128 GB","< 100 GB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","Other","No","","","Hybrid/Blended","Moderately confident","300 - 500 Mbps","Good","Very likely","Yes"
"PhD","Earth and Atmospheric Sciences","Male","White","Standard User","Laptop","2015","17''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","1 TB","500 GB - 1 TB","Yes","External backup disk","Seagate","","Monthly","No","Yes","No","No","","Yes","Google","Other","No","","","Fully Online","Very confident","> 500 Mbps","Excellent","Very unlikely","Maybe"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","13''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","< 100 GB","Yes","Cloud","","Apple iCloud","Other","Yes","No","No","Yes","Yes","Yes","iPhone","iPhone X Series","No","","","Face-to-Face","Neutral","< 100 Mbps","Good","Neither likely nor unlikely","Maybe"
"PhD","Biology and Biochemistry","Female","Other","Standard User","Laptop","2019","15''","1 year","Built-in","Good","Dell Inspiron 7000","University property","Windows OS","Windows 10 Pro","Intel Core i7","16 GB","256 GB","< 100 GB","Yes","External backup disk","WD","","Other","Yes","No","No","Yes","No","Yes","iPhone","iPhone 8","No","","","Hybrid/Blended","Neutral","< 100 Mbps","Excellent","Very unlikely","Yes"
"Staff","Mathematics","Female","Prefer Not to Say","Standard User","Laptop","2016","15''","No","Built-in","Excellent","Apple Macbook Pro","University property","Mac OS","Mojave","Intel Core i7","> 32 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Other","Yes","No","Yes","Yes","Yes","Yes","iPhone","iPhone 11","Yes","Fitbit","Other","Fully Online","Moderately confident","100 - 300 Mbps","Fair","",""
"Senior","Computer Science","Male","African American","Standard User","Laptop","2017","13''","No","Built-in","Good","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Other","Hybrid/Blended","Moderately confident","300 - 500 Mbps","Average","Neither likely nor unlikely","Yes"
"Sophomore","Computer Science","Male","Asian American","Standard User","Laptop","2018","15''","No","Built-in","Good","Lenovo ThinkPad","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","128 GB","< 100 GB","Yes","Cloud","","Microsoft OneDrive","Weekly","Yes","No","Yes","No","","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Neutral","100 - 300 Mbps","Good","Somewhat likely","Yes"
"P-B second-degree","Computer Science","Male","White","Standard User","Laptop","2019","15''","1 year","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Daily","Yes","No","Yes","No","","Yes","iPhone","iPhone 11","No","","","Hybrid/Blended","Very confident","300 - 500 Mbps","Good","Very unlikely","Maybe"
"Sophomore","Biology and Biochemistry","Male","White","Standard User","Laptop","2019","15''","1 year","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Daily","Yes","No","Yes","Yes","Yes","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Hybrid/Blended","Very confident","> 500 Mbps","Excellent","Somewhat unlikely","Yes"
"MS","Computer Science","Female","International","Standard User","Laptop","2019","13''","1 year","Built-in","Fair","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","1 TB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone 11","Yes","Apple Watch","Apple Watch 3","Fully Online","Somewhat confident","300 - 500 Mbps","Good","Neither likely nor unlikely","Maybe"
"Sophomore","Mathematics","Male","Asian American","Standard User","Laptop","2019","15''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","512 GB","500 GB - 1 TB","No","","","","","","No","No","No","","Yes","iPhone","iPhone X Series","No","","","Face-to-Face","Not confident","100 - 300 Mbps","Average","Somewhat likely","Yes"
"Junior","Mathematics","Male","White","Standard User","Laptop","2016","15''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","AMD Ryzen","16 GB","1 TB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Other","Yes","No","Yes","No","","Yes","iPhone","Other","No","","","Face-to-Face","Very confident","< 100 Mbps","Good","Somewhat unlikely","Maybe"
"Sophomore","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2013","13''","No","Built-in","Fair","Apple Macbook Pro","Own","Mac OS","High Sierra","Intel Core i5","> 32 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone 8","No","","","Hybrid/Blended","Not confident","100 - 300 Mbps","Poor","Somewhat unlikely","No"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","15''","3 year","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Monthly","Yes","No","Yes","No","","Yes","iPhone","iPhone 11","No","","","Fully Online","Very confident","> 500 Mbps","Excellent","Somewhat unlikely","Maybe"
"PhD","Earth and Atmospheric Sciences","Male","International","Standard User","Desktop","2014","17''","No","No","Average","Other","University property","Windows OS","Windows 10 Home","Intel Core i5","16 GB","1 TB","500 GB - 1 TB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 11","No","","","Hybrid/Blended","Neutral","< 100 Mbps","Fair","Somewhat unlikely","No"
"Sophomore","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2016","13''","No","Built-in","Average","Microsoft Surface","Other","Windows OS","Windows 10 Home","Intel Core i7","32 GB","128 GB","< 100 GB","No","","","","","","Yes","No","No","","Yes","Samsung","Samsung Galaxy","No","","","Face-to-Face","Not confident","< 100 Mbps","Fair","Very likely","No"
"Freshman","Computer Science","Male","International","Standard User","Laptop","2019","15''","Other","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i7","16 GB","512 GB","< 100 GB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","iPhone X Series","No","","","Fully Online","Very confident","100 - 300 Mbps","Excellent","Very unlikely","Maybe"
"MS","Mathematics","Female","White","Standard User","Laptop","2014","13''","No","Built-in","Good","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","4 GB","128 GB","< 100 GB","Yes","External backup disk","Seagate","","Monthly","No","No","No","No","","Yes","iPhone","Other","No","","","Fully Online","Neutral","< 100 Mbps","Good","Very unlikely","No"
"P-B second-degree","Computer Science","Male","White","Standard User","Laptop","2013","13''","No","Built-in","Fair","Apple Macbook Pro","Own","Mac OS","Mojave","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Monthly","Yes","No","No","No","","Yes","iPhone","Other","No","","","Fully Online","Very confident","100 - 300 Mbps","Excellent","Very unlikely","Maybe"
"Freshman","Physics","Male","White","Standard User","Laptop","2020","15''","No","Built-in","Excellent","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","< 100 GB","No","","","","","","No","Yes","Yes","Yes","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 5","Face-to-Face","Moderately confident","300 - 500 Mbps","Excellent","Neither likely nor unlikely","Yes"
"Senior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2017","14''","1 year","Built-in","Excellent","Lenovo Yoga","Own","Windows OS","Windows 10 Pro","Intel Core i7","16 GB","256 GB","500 GB - 1 TB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 8","No","","","Face-to-Face","Neutral","300 - 500 Mbps","Excellent","Somewhat unlikely","Maybe"
"Freshman","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2018","13''","No","Built-in","Fair","Dell Latitude 5000","Own","Windows OS","Windows 10 Home","Intel Core i9","4 GB","128 GB","< 100 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone X Series","No","","","Face-to-Face","Moderately confident","< 100 Mbps","Fair","Neither likely nor unlikely","Yes"
"Junior","Biology and Biochemistry","Female","International","Standard User","Laptop","2016","14''","No","Built-in","Fair","Apple Macbook Pro","Own","Mac OS","Other","Intel Core i5","8 GB","128 GB","< 100 GB","No","","","","","","Yes","No","No","","Yes","iPhone","iPhone 8","No","","","Hybrid/Blended","Somewhat confident","< 100 Mbps","Good","Neither likely nor unlikely","Maybe"
"Sophomore","Biology and Biochemistry","Male","Asian American","Standard User","Desktop","2019","Other","No","No","Good","Other","Own","Windows OS","Windows 10 Pro","AMD Ryzen","16 GB","1 TB","500 GB - 1 TB","No","","","","","","No","No","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Moderately confident","100 - 300 Mbps","Average","Very unlikely","Maybe"
"PhD","Chemistry","Male","International","Standard User","Laptop","2018","13''","1 year","Built-in","Average","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","< 100 GB","Yes","Cloud","","Microsoft OneDrive","Daily","Yes","No","Yes","Yes","Yes","Yes","iPhone","iPhone X Series","No","","","Face-to-Face","Very confident","100 - 300 Mbps","Good","Very unlikely","No"
"Sophomore","Earth and Atmospheric Sciences","Female","Hispanic","Standard User","Laptop","2018","13''","No","Built-in","Good","Microsoft Surface","Own","Windows OS","Windows 10 Home","Intel Core i5","32 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Monthly","No","No","Yes","Yes","No","Yes","iPhone","iPhone 11","No","","","Hybrid/Blended","Neutral","300 - 500 Mbps","Good","Somewhat unlikely","Maybe"
"Freshman","Biology and Biochemistry","Male","International","Standard User","Laptop","2018","13''","1 year","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Other","Intel Core i9","4 GB","128 GB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","iPhone X Series","No","","","Hybrid/Blended","Neutral","< 100 Mbps","Fair","Somewhat unlikely","Yes"
"Junior","Computer Science","Female","Asian American","Standard User","Laptop","2018","13''","No","Built-in","Excellent","Other","Own","Windows OS","Windows 10 Pro","Intel Core i9","16 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Moderately confident","> 500 Mbps","Good","Neither likely nor unlikely","Maybe"
"Sophomore","Mathematics","Male","Prefer Not to Say","Standard User","Laptop","2018","13''","No","External","Good","Apple Macbook Pro","Own","Mac OS","Other","AMD Ryzen","16 GB","128 GB","< 100 GB","No","","","","","","No","No","No","","Yes","Other","Other","No","","","Fully Online","Moderately confident","< 100 Mbps","Good","Neither likely nor unlikely","Maybe"
"MS","Biology and Biochemistry","Female","White","Standard User","Laptop","2017","15''","No","Built-in","Average","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i7","4 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Weekly","Yes","No","Yes","Yes","No","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Other","Face-to-Face","Moderately confident","> 500 Mbps","Average","Very unlikely","Maybe"
"Senior","Computer Science","Female","Hispanic","Standard User","Laptop","2019","15''","1 year","Built-in","Good","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","512 GB","< 100 GB","Yes","Cloud","","Microsoft OneDrive","Daily","Yes","No","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Moderately confident","100 - 300 Mbps","Excellent","Somewhat unlikely","Maybe"
"Senior","Earth and Atmospheric Sciences","Male","White","Standard User","Laptop","2018","15''","1 year","Built-in","Good","Microsoft Surface","Own","Windows OS","Windows 10 Pro","Intel Core i7","16 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 4","Fully Online","Somewhat confident","100 - 300 Mbps","Average","Somewhat likely","Yes"
"Junior","Earth and Atmospheric Sciences","Male","White","Standard User","Laptop","2017","13''","No","Built-in","Poor","Other","Own","Other","Other","Other","4 GB","128 GB","100 GB - 500 GB","Yes","External backup disk","Seagate","","Monthly","No","No","No","No","","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Moderately confident","100 - 300 Mbps","Average","Somewhat likely","Maybe"
"Sophomore","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2019","13''","1 year","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Other","Intel Core i9","> 32 GB","128 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone 8","Yes","Apple Watch","Apple Watch 4","Face-to-Face","Somewhat confident","100 - 300 Mbps","Fair","Neither likely nor unlikely","Maybe"
"PhD","Earth and Atmospheric Sciences","Male","White","Standard User","Desktop","2012","Other","No","Built-in","Poor","Other","University property","Windows OS","Windows 10 Pro","Intel Core i5","16 GB","1 TB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Daily","Yes","No","Yes","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 5","Fully Online","Very confident","100 - 300 Mbps","Excellent","Very unlikely","Maybe"
"Freshman","Biology and Biochemistry","Female","White","Standard User","Laptop","2018","17''","3 year","Built-in","Good","Lenovo Yoga","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","iPhone","iPhone 8","Yes","Fitbit","Fitbit Versa","Hybrid/Blended","Somewhat confident","> 500 Mbps","Excellent","Somewhat likely","Yes"
"Freshman","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2020","13''","No","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","High Sierra","Intel Core i9","4 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Daily","Yes","No","Yes","Yes","No","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Face-to-Face","Very confident","300 - 500 Mbps","Good","Somewhat unlikely","Yes"
"Junior","Mathematics","Male","White","Standard User","Laptop","2018","14''","No","Built-in","Good","Other","Own","Windows OS","Windows 10 Pro","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Weekly","Yes","No","No","Yes","Yes","Yes","iPhone","iPhone 8","No","","","Face-to-Face","Moderately confident","300 - 500 Mbps","Excellent","Somewhat likely","Yes"
"PhD","Mathematics","Female","Other","Standard User","Laptop","2012","13''","No","Built-in","Average","Apple Macbook Pro","Own","Mac OS","Mojave","Intel Core i5","16 GB","1 TB","100 GB - 500 GB","No","","","","","","No","No","No","","Yes","iPhone","iPhone 8","No","","","Face-to-Face","Neutral","100 - 300 Mbps","Average","Very unlikely","Yes"
"PhD","Physics","Female","International","Standard User","Laptop","2017","13''","No","Built-in","Average","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","8 GB","128 GB","100 GB - 500 GB","Yes","Both","Seagate","Apple iCloud","Other","Yes","Yes","No","Yes","No","Yes","Other","Other","No","","","Fully Online","Moderately confident","100 - 300 Mbps","Good","Very unlikely","Maybe"
"Sophomore","Biology and Biochemistry","Female","Hispanic","Standard User","Laptop","2017","13''","No","Built-in","Fair","Lenovo Yoga","Own","Windows OS","Windows 10 Home","Intel Core i5","16 GB","128 GB","100 GB - 500 GB","Yes","Cloud","","Microsoft OneDrive","Monthly","Yes","No","Yes","No","","Yes","iPhone","Other","No","","","Fully Online","Moderately confident","300 - 500 Mbps","Good","Very unlikely","Yes"
"PhD","Computer Science","Male","White","Standard User","Desktop","2018","Other","No","External","Good","Other","Own","Windows OS","Windows 10 Pro","Intel Core i7","16 GB","512 GB","100 GB - 500 GB","Yes","External backup disk","Other","","Weekly","No","No","No","Yes","No","Yes","iPhone","iPhone 8","No","","","Face-to-Face","Moderately confident","100 - 300 Mbps","Good","Somewhat unlikely","Maybe"
"PhD","Earth and Atmospheric Sciences","Male","International","Standard User","Laptop","2015","17''","No","Built-in","Poor","Other","Own","Windows OS","Other","Intel Core i7","8 GB","1 TB","500 GB - 1 TB","No","","","","","","No","Yes","No","","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Neutral","< 100 Mbps","Average","Somewhat likely","Yes"
"Senior","Chemistry","Female","Asian American","Standard User","Laptop","2016","15''","1 year","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i7","16 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","Other","No","","","Hybrid/Blended","Not confident","< 100 Mbps","Good","Somewhat unlikely","Maybe"
"Sophomore","Mathematics","Male","Hispanic","Standard User","Laptop","2019","13''","No","Built-in","Fair","Other","Own","Windows OS","Windows 10 Home","Other","4 GB","256 GB","100 GB - 500 GB","No","","","","","","Yes","Yes","Yes","No","Yes","Google","Google Pixel 4","No","","","Fully Online","Moderately confident","< 100 Mbps","Average","Somewhat unlikely","Yes"
"Sophomore","Biology and Biochemistry","Male","Asian American","Standard User","Laptop","2015","13''","1 year","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","128 GB","100 GB - 500 GB","No","","","","","","Yes","No","No","","Yes","iPhone","Other","No","","","Face-to-Face","Not confident","100 - 300 Mbps","Fair","Neither likely nor unlikely","Yes"
"Junior","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2016","14''","No","Built-in","Poor","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","8 GB","128 GB","100 GB - 500 GB","No","","","","","","Yes","No","No","","Yes","iPhone","Other","No","","","Fully Online","Not confident","300 - 500 Mbps","Average","Neither likely nor unlikely","Maybe"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2020","13''","No","Built-in","Excellent","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","No","","","","","","No","No","Yes","No","Yes","iPhone","Other","No","","","Hybrid/Blended","Moderately confident","100 - 300 Mbps","Good","Neither likely nor unlikely","Yes"
"Junior","Computer Science","Male","International","Standard User","Laptop","2018","13''","No","Built-in","Fair","Dell Inspiron 7000","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","< 100 GB","Yes","Cloud","","Microsoft OneDrive","Daily","Yes","No","Yes","Yes","Yes","Yes","iPhone","Other","No","","","Face-to-Face","Moderately confident","< 100 Mbps","Fair","Somewhat likely","Maybe"
"PhD","Earth and Atmospheric Sciences","Female","Asian American","Standard User","Laptop","2019","14''","1 year","Built-in","Good","Dell Latitude 7000","Own","Windows OS","Windows 10 Pro","Intel Core i7","16 GB","256 GB","100 GB - 500 GB","Yes","External backup disk","Seagate","","Other","No","No","No","Yes","No","Yes","Google","Google Pixel 4","No","","","Fully Online","Very confident","100 - 300 Mbps","Excellent","Very unlikely","Yes"
"P-B non-degree","Mathematics","Female","Prefer Not to Say","Standard User","Laptop","2017","15''","No","External","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","8 GB","256 GB","< 100 GB","Yes","Cloud","","Google Drive","Other","No","No","No","No","","Yes","Google","Other","No","","","Fully Online","Not confident","300 - 500 Mbps","Excellent","Very unlikely","Maybe"
"Sophomore","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","13''","Other","Built-in","Average","Other","Own","Windows OS","Windows 10 Home","Intel Core i5","4 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Google Drive","Other","No","No","Yes","No","","Yes","Google","Google Pixel 3a","No","","","Hybrid/Blended","Very confident","< 100 Mbps","Average","Somewhat unlikely","Yes"
"Senior","Computer Science","Male","Hispanic","Standard User","Desktop","2020","Other","No","External","Excellent","Other","Own","Windows OS","Windows 10 Home","AMD Ryzen","16 GB","1 TB","500 GB - 1 TB","No","","","","","","No","No","Yes","No","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Hybrid/Blended","Very confident","100 - 300 Mbps","Good","Very unlikely","Maybe"
"Senior","Biology and Biochemistry","Female","Other","Standard User","Laptop","2017","13''","No","Built-in","Good","Apple Macbook Pro","Own","Mac OS","Catalina","Intel Core i7","8 GB","128 GB","< 100 GB","No","","","","","","Yes","Yes","No","","Yes","iPhone","iPhone X Series","Yes","Apple Watch","Apple Watch 3","Face-to-Face","Not confident","< 100 Mbps","Poor","Very unlikely","Maybe"
"Freshman","Biology and Biochemistry","Female","Asian American","Standard User","Laptop","2018","13''","No","Built-in","Good","Apple Macbook Air","Own","Mac OS","Catalina","Intel Core i5","8 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","Apple iCloud","Weekly","Yes","No","Yes","No","","Yes","iPhone","iPhone 8","Yes","Apple Watch","Apple Watch 3","Hybrid/Blended","Not confident","> 500 Mbps","Good","Very unlikely","Yes"
"PhD","Earth and Atmospheric Sciences","Female","International","Standard User","Laptop","2016","15''","No","Built-in","Fair","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","1 TB","500 GB - 1 TB","No","","","","","","No","No","Yes","No","Yes","Google","Google Pixel 3a","Yes","Other","Other","Hybrid/Blended","Very confident","300 - 500 Mbps","Excellent","Very likely","Yes"
"Freshman","Biology and Biochemistry","Female","White","Standard User","Laptop","2019","14''","No","Built-in","Average","Other","Own","Chrome OS","Windows 10 Home","Intel Core i9","16 GB","256 GB","100 GB - 500 GB","No","","","","","","No","Yes","No","","Yes","Other","Other","Yes","Fitbit","Fitbit Versa","Face-to-Face","Somewhat confident","300 - 500 Mbps","Average","Somewhat likely","Yes"
"P-B second-degree","Computer Science","Male","White","Standard User","Desktop","2016","Other","No","No","Excellent","Other","Own","Windows OS","Windows 10 Home","Intel Core i7","16 GB","1 TB","100 GB - 500 GB","Yes","Cloud","","Dropbox","Daily","Yes","No","No","Yes","Yes","Yes","Samsung","Samsung Galaxy","No","","","Hybrid/Blended","Very confident","> 500 Mbps","Excellent","Somewhat unlikely","Maybe"
"Freshman","Computer Science","Male","Hispanic","Standard User","Tablet","2018","13''","1 year","Built-in","Good","Other","Own","Other","Other","Other","> 32 GB","256 GB","< 100 GB","No","","","","","","No","Yes","Yes","No","Yes","iPhone","Other","No","","","Hybrid/Blended","Moderately confident","< 100 Mbps","Good","Very likely","Yes"
"Freshman","Biology and Biochemistry","Male","Hispanic","Standard User","Desktop","2016","Other","3 year","No","Excellent","Other","Own","Windows OS","Windows 10 Pro","Intel Core i9","16 GB","1 TB","500 GB - 1 TB","Yes","Cloud","","Microsoft OneDrive","Other","No","No","No","Yes","No","Yes","Samsung","Samsung Galaxy","No","","","Fully Online","Very confident","300 - 500 Mbps","Excellent","Very unlikely","Maybe"
